Model,Filter,Accuracy,Precision,Recall,F1-score,Macro-F1,Balanced Accuracy,AUC
ResNet50,No Filter,75.33,77.87,76.3,74.47,76.41,76.3,94.88
ResNet50,Average,75.59,76.73,77.98,75.85,76.71,77.98,94.76
ResNet50,Gaussian,76.9,78.27,77.75,76.78,77.9,77.75,95.63
ResNet50,Median,71.92,73.22,74.3,71.69,72.78,74.3,94.03
ResNet50,Sharpening,74.54,74.99,76.75,74.36,75.44,76.75,94.91
ResNet50,Sobel,55.12,54.05,56.6,54.62,54.46,56.6,86.41
DenseNet121,No Filter,74.8,75.22,77.2,74.56,75.89,77.2,95.07
DenseNet121,Average,72.7,72.41,74.39,72.57,72.87,74.39,94.72
DenseNet121,Gaussian,71.65,72.17,75.06,71.11,73.08,75.06,94.9
DenseNet121,Median,73.23,73.59,74.35,73.17,73.56,74.35,94.44
DenseNet121,Sharpening,74.02,75.27,75.72,74.23,74.87,75.72,95.28
DenseNet121,Sobel,56.17,54.15,55.19,56.03,54.19,55.19,87.23
ResNet101,No Filter,75.07,76.88,76.57,74.58,76.29,76.57,94.4
ResNet101,Average,73.75,75.79,74.58,73.44,74.71,74.58,94.11
ResNet101,Gaussian,75.85,74.69,77.16,75.44,75.35,77.16,95.56
ResNet101,Median,76.9,78.06,77.45,76.82,77.61,77.45,95.3
ResNet101,Sharpening,73.49,75.32,75.66,73.3,75.42,75.66,94.39
ResNet101,Sobel,55.38,53.17,54.61,54.82,52.41,54.61,87.15
