Model,Filter,Δ Accuracy,Δ Macro-F1,Δ Balanced Accuracy,Δ AUC
ResNet50,Average,0.26,0.3,1.68,-0.12
ResNet50,Gaussian,1.57,1.49,1.45,0.75
ResNet50,Median,-3.41,-3.63,-2.0,-0.85
ResNet50,Sharpening,-0.79,-0.97,0.45,0.03
ResNet50,Sobel,-20.21,-21.95,-19.7,-8.47
DenseNet121,Average,-2.1,-3.02,-2.81,-0.35
DenseNet121,Gaussian,-3.15,-2.81,-2.14,-0.17
DenseNet121,Median,-1.57,-2.33,-2.85,-0.63
DenseNet121,Sharpening,-0.78,-1.02,-1.48,0.21
DenseNet121,Sobel,-18.63,-21.7,-22.01,-7.84
ResNet101,Average,-1.32,-1.58,-1.99,-0.29
ResNet101,Gaussian,0.78,-0.94,0.59,1.16
ResNet101,Median,1.83,1.32,0.88,0.9
ResNet101,Sharpening,-1.58,-0.87,-0.91,-0.01
ResNet101,Sobel,-19.69,-23.88,-21.96,-7.25
